"472","Silver Linings Playbook","$236.4"
"473","2 Fast 2 Furious","$236.4"
"474","A.I. Artificial Intelligence","$235.9"
"475","Dead Poets Society","$235.9"
"476","American Pie","$235.5"
"477","Howl's Moving Castle","$235.2"
"478","American Reunion","$235.0"
"479","Big Daddy","$234.8"
"480","Paddington","$233.5"
"481","The Day the Earth Stood Still (2008)","$233.1"
"482","The Girl with the Dragon Tattoo (2011)","$232.6"
"483","Argo","$232.3"
"484","The English Patient","$232.0"
"485","Sister Act","$231.6"
"486","American Wedding","$231.4"
"487","Juno","$231.4"
"488","Constantine","$230.9"
"489","Get Smart","$230.7"
"490","Space Jam","$230.4"
"491","The Heat","$229.9"
"492","Mr. Bean's Holiday","$229.7"
"493","Life Is Beautiful","$229.2"
"494","Ghost Rider","$228.7"
"495","Lethal Weapon 2","$227.9"
"496","The Green Hornet","$227.8"
"497","Sleepless in Seattle","$227.8"
"498","Immortals","$226.9"
"499","Taken","$226.8"
"500","Percy Jackson & The Olympians: The Lightning Thief","$226.5"
"501","Hansel and Gretel: Witch Hunters","$226.3"
"502","Good Will Hunting","$225.9"
"503","Kingsman: The Secret Service","$225.3"
"504","The Social Network","$224.9"
"505","Chicken Run","$224.8"
"506","Con Air","$224.0"
"507","Interview with the Vampire","$223.7"
"508","Flightplan","$223.4"
"509","Yes Man","$223.2"
"510","Non-Stop","$222.8"
"511","Honey, I Shrunk the Kids","$222.7"
"512","Fahrenheit 9/11","$222.4"
"513","Jumper","$222.2"
"514","Wild Wild West","$222.1"
"515","Presumed Innocent","$221.3"
"516","Scary Movie 3","$220.7"
"517","Elf","$220.4"
"518","Green Lantern","$219.9"
"519","Planes","$219.8"
"520","The Terminal","$219.4"
"521","What Happens in Vegas","$219.4"
"522","It's Complicated","$219.1"
"523","Knocked Up","$219.1"
"524","Captain Phillips","$218.8"
"525","The Prince of Egypt","$218.6"
"526","Jack Reacher","$218.3"
"527","Collateral","$217.8"
"528","Million Dollar Baby","$216.8"
"529","The Help","$216.6"
"530","Twins","$216.6"
"531","Valentine's Day","$216.5"
"532","Bad Teacher","$216.2"
"533","Clear and Present Danger","$215.9"
"534","101 Dalmatians","$215.9"
